Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
25.959999,26,25.450001,25.809999,25.809999,26777400,2013,Jul,214
25.74,25.93,25.549999,25.91,25.91,16537900,2013,Jul,215
25.93,26.43,25.65,26.280001,26.280001,24234000,2013,Jul,216
26.389999,26.75,26.01,26.32,26.32,30817600,2013,Jul,217
26.370001,26.780001,26.299999,26.65,26.65,21518500,2013,Jul,218
26.75,26.77,26.120001,26.18,26.18,24806900,2013,Jul,219
25.82,26.110001,25.6,25.879999,25.879999,46539700,2013,Jul,220
25.99,26.129999,25.719999,26.049999,26.049999,27526300,2013,Jul,221
26.1,26.299999,25.969999,26.129999,26.129999,28221600,2013,Jul,222
26.32,26.530001,26.049999,26.51,26.51,82635600,2013,Jul,223
33.540001,34.880001,32.75,34.360001,34.360001,365457900,2013,Jul,224
33.77,34.73,33.560001,34.009998,34.009998,136028900,2013,Jul,225
34.07,35.630001,34.009998,35.43,35.43,124718800,2013,Jul,226
35.650002,37.959999,35.32,37.630001,37.630001,173582800,2013,Jul,227
37.959999,38.310001,36.330002,36.799999,36.799999,154828700,2013,Jul,228
37.299999,38.290001,36.919998,37.490002,37.490002,106066500,2013,Aug,229
37.66,38.490002,37.5,38.049999,38.049999,73058500,2013,Aug,230
38.43,39.32,38.25,39.189999,39.189999,79994800,2013,Aug,231
39.110001,39.25,37.939999,38.549999,38.549999,63950800,2013,Aug,232
38.610001,38.939999,37.700001,38.869999,38.869999,68854800,2013,Aug,233
39.130001,39.189999,38.43,38.540001,38.540001,41301000,2013,Aug,234
38.59,38.740002,38.009998,38.5,38.5,43532300,2013,Aug,235
38.200001,38.5,38.099998,38.220001,38.220001,31161000,2013,Aug,236
38.240002,38.32,36.77,37.02,37.02,65379200,2013,Aug,237
36.830002,37.549999,36.619999,36.650002,36.650002,48423900,2013,Aug,238
36.360001,37.07,36.02,36.560001,36.560001,56521100,2013,Aug,239
36.970001,37.490002,36.900002,37.080002,37.080002,45840800,2013,Aug,240
37.43,38.279999,37.139999,37.810001,37.810001,57609600,2013,Aug,241
38.349998,38.580002,37.689999,38.41,38.41,57995200,2013,Aug,242
